キャラクター,系統,段階,分岐,内部共通枠,表示兵種名,適性,自力アクセス,名称状態,成長率・通常習得,マスタースキル,因果兵種への持越し,備考,備考２
リングホルム,戦列兵,上級,防御特化,戦列防御上級,ガーディアン,標準,可,ユーザー案,戦列防御上級共通,キャラ別・未定,不可,,
リングホルム,術兵,下級,-,術下級,カンナギ,標準,可,ユーザー案,術下級共通,キャラ別・未定,不可,,
リングホルム,術兵,上級,軍師系,術軍師上級,★戦巫女,得意,可,ユーザー案,術軍師上級共通,キャラ別・未定,不可,,
リングホルム,術兵,上級,魔法特化,術魔法上級,リーパー,標準,可,ユーザー案,術魔法上級共通,キャラ別・未定,不可,,
リングホルム,騎兵,下級,-,騎兵下級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,騎兵下級共通,キャラ別・未定,不可,,
リングホルム,騎兵,上級,騎馬,騎馬上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,仮案,騎馬上級共通,キャラ別・未定,不可,,
リングホルム,騎兵,上級,飛行,飛行上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,仮案,飛行上級共通,キャラ別・未定,不可,,
リングホルム,隠密兵,下級,-,隠密下級,盗人,得意,可,ユーザー案,隠密下級共通,キャラ別・未定,不可,,
リングホルム,隠密兵,上級,暗殺,隠密暗殺上級,★アサシン,得意,可,ユーザー案,隠密暗殺上級共通,キャラ別・未定,不可,,
リングホルム,隠密兵,上級,遊撃,隠密遊撃上級,シューター,得意,可,ユーザー案,隠密遊撃上級共通,キャラ別・未定,不可,,
リングホルム,専用兵種,専用,専用,専用兵種,★プロガトリア,専用,可,ユーザー案,攻撃・速さ・命中・対魔法,専用,可能,,
アルバス,戦列兵,下級,-,戦列下級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,戦列下級共通,キャラ別・未定,不可,本作壊れ枠兼ラスボス枠。オルクスの王子であり、表・裏ルートの主人公格。オルクス出身なので、オルクス出身者らしい兵種名だが、そもそもアルストロとオルクスは西の大陸のお隣さんの国なので、近い兵種名もいっぱいある。,
アルバス,戦列兵,上級,攻撃特化,戦列攻撃上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,戦列攻撃上級共通,キャラ別・未定,不可,,
アルバス,戦列兵,上級,防御特化,戦列防御上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,戦列防御上級共通,キャラ別・未定,不可,,
アルバス,術兵,下級,-,術下級,魔導師,得意,可,ユーザー案,術下級共通,キャラ別・未定,不可,,
アルバス,術兵,上級,軍師系,術軍師上級,★◎ロード(そもそも未来のオルクスの王子だし),得意,可,ユーザー案,術軍師上級共通,キャラ別・未定,不可,,
アルバス,術兵,上級,魔法特化,術魔法上級,★カラミティ,得意,可,ユーザー案,術魔法上級共通,キャラ別・未定,不可,,
アルバス,騎兵,下級,-,騎兵下級,ナイト,得意,可,ユーザー案,騎兵下級共通,キャラ別・未定,不可,,
アルバス,騎兵,上級,騎馬,騎馬上級,パラディン,得意,可,ユーザー案,騎馬上級共通,キャラ別・未定,不可,,
アルバス,騎兵,上級,飛行,飛行上級,ドラゴンライダー,得意,可,ユーザー案,飛行上級共通,キャラ別・未定,不可,,
アルバス,隠密兵,下級,-,隠密下級,斥候,標準,可,ユーザー案,隠密下級共通,キャラ別・未定,不可,,
アルバス,隠密兵,上級,暗殺,隠密暗殺上級,アサシン,標準,可,ユーザー案,隠密暗殺上級共通,キャラ別・未定,不可,,
アルバス,隠密兵,上級,遊撃,隠密遊撃上級,シューター,標準,可,ユーザー案,隠密遊撃上級共通,キャラ別・未定,不可,,
アルバス,専用兵種,専用,専用,専用兵種,★フォスフォロス,専用,可,ユーザー案,魔攻・魔防・命中・支援・範囲,専用,可能,,
フィロ,戦列兵,下級,-,戦列下級,戦士,標準,可,仮案,戦列下級共通,キャラ別・未定,不可,アルストロの騎士団長。表ルートのみ加入。ほぼ友軍ユニットだが、条件加入くらいでいいかも。,
フィロ,戦列兵,上級,攻撃特化,戦列攻撃上級,ブレイバー,標準,可,仮案,戦列攻撃上級共通,キャラ別・未定,不可,,
フィロ,戦列兵,上級,防御特化,戦列防御上級,ガーディアン,標準,可,仮案,戦列防御上級共通,キャラ別・未定,不可,,
フィロ,術兵,下級,-,術下級,魔導師,標準,可,仮案,術下級共通,キャラ別・未定,不可,,
フィロ,術兵,上級,軍師系,術軍師上級,戦術士,標準,可,仮案,術軍師上級共通,キャラ別・未定,不可,,
フィロ,術兵,上級,魔法特化,術魔法上級,アークメイジ,標準,可,仮案,術魔法上級共通,キャラ別・未定,不可,,
フィロ,騎兵,下級,-,騎兵下級,ナイト,得意,可,仮案,騎兵下級共通,キャラ別・未定,不可,,
フィロ,騎兵,上級,騎馬,騎馬上級,★パラディン,得意,可,仮案,騎馬上級共通,キャラ別・未定,不可,,
フィロ,騎兵,上級,飛行,飛行上級,◎★スカイナイト,得意,可,ユーザー案,飛行上級共通,キャラ別・未定,不可,,
フィロ,隠密兵,下級,-,隠密下級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,隠密下級共通,キャラ別・未定,不可,,
フィロ,隠密兵,上級,暗殺,隠密暗殺上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,隠密暗殺上級共通,キャラ別・未定,不可,,
フィロ,隠密兵,上級,遊撃,隠密遊撃上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,隠密遊撃上級共通,キャラ別・未定,不可,,
アン,戦列兵,下級,-,戦列下級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,仮案,戦列下級共通,キャラ別・未定,不可,アルストロ出身の村娘。表ルートのみシナリオ進行の好感度条件で加入。シナリオには積極的に出るが、戦闘はベンチ要員。,
アン,戦列兵,上級,攻撃特化,戦列攻撃上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,仮案,戦列攻撃上級共通,キャラ別・未定,不可,,
アン,戦列兵,上級,防御特化,戦列防御上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,仮案,戦列防御上級共通,キャラ別・未定,不可,,
アン,術兵,下級,-,術下級,魔導師,標準,可,仮案,術下級共通,キャラ別・未定,不可,,
アン,術兵,上級,軍師系,術軍師上級,★戦術士,標準,可,仮案,術軍師上級共通,キャラ別・未定,不可,,
アン,術兵,上級,魔法特化,術魔法上級,アークメイジ,標準,可,仮案,術魔法上級共通,キャラ別・未定,不可,,
アン,騎兵,下級,-,騎兵下級,ナイト,標準,可,仮案,騎兵下級共通,キャラ別・未定,不可,,
アン,騎兵,上級,騎馬,騎馬上級,パラディン,標準,可,仮案,騎馬上級共通,キャラ別・未定,不可,,
アン,騎兵,上級,飛行,飛行上級,スカイナイト,標準,可,ユーザー案,飛行上級共通,キャラ別・未定,不可,,
アン,隠密兵,下級,-,隠密下級,◎村人(一般市民の為斥候じゃないとおもう()),得意,可,ユーザー案,隠密下級共通,キャラ別・未定,不可,,
アン,隠密兵,上級,暗殺,隠密暗殺上級,アサシン,得意,可,ユーザー案,隠密暗殺上級共通,キャラ別・未定,不可,,
アン,隠密兵,上級,遊撃,隠密遊撃上級,★シューター,得意,可,ユーザー案,隠密遊撃上級共通,キャラ別・未定,不可,,
カリマ,戦列兵,下級,-,戦列下級,◎王子(そもそも未来のオルクスの王子だし),万能,可,仮案,戦列下級共通,キャラ別・未定,不可,本作マイユニ枠２であり主人公。未来のオルクスの王子であり、裏ルートの進行役。オルクス出身なので、オルクス出身者らしい兵種名だが、舞台がアルストロなので、混ざってる。,
カリマ,戦列兵,上級,攻撃特化,戦列攻撃上級,ブレイバー,万能,可,仮案,戦列攻撃上級共通,キャラ別・未定,不可,,
カリマ,戦列兵,上級,防御特化,戦列防御上級,ガーディアン,万能,可,仮案,戦列防御上級共通,キャラ別・未定,不可,,
カリマ,術兵,下級,-,術下級,魔導師,万能,可,仮案,術下級共通,キャラ別・未定,不可,,
カリマ,術兵,上級,軍師系,術軍師上級,戦術士,万能,可,仮案,術軍師上級共通,キャラ別・未定,不可,,
カリマ,術兵,上級,魔法特化,術魔法上級,カラミティ,万能,可,仮案,術魔法上級共通,キャラ別・未定,不可,,
カリマ,騎兵,下級,-,騎兵下級,ナイト,万能,可,仮案,騎兵下級共通,キャラ別・未定,不可,,
カリマ,騎兵,上級,騎馬,騎馬上級,パラディン,万能,可,仮案,騎馬上級共通,キャラ別・未定,不可,,
カリマ,騎兵,上級,飛行,飛行上級,ライダー,万能,可,仮案,飛行上級共通,キャラ別・未定,不可,,
カリマ,隠密兵,下級,-,隠密下級,斥候,万能,可,仮案,隠密下級共通,キャラ別・未定,不可,,
カリマ,隠密兵,上級,暗殺,隠密暗殺上級,アサシン,万能,可,仮案,隠密暗殺上級共通,キャラ別・未定,不可,,
カリマ,隠密兵,上級,遊撃,隠密遊撃上級,シューター,万能,可,仮案,隠密遊撃上級共通,キャラ別・未定,不可,,
カリマ,専用兵種,専用,専用,専用兵種,★フラグメント,専用,可,ユーザー案,パッシブ・魔防・両刀,専用,可能,,
ベル,戦列兵,下級,-,戦列下級,◎戦士,標準,可,仮案,戦列下級共通,キャラ別・未定,不可,オルクスの幼兵士。裏ルートのみ加入。表ルートのシナリオには敵として登場、裏ルートでは味方ユニットとしてカリマと共に戦う。,
ベル,戦列兵,上級,攻撃特化,戦列攻撃上級,★ブレイバー,得意,可,仮案,戦列攻撃上級共通,キャラ別・未定,不可,,
ベル,戦列兵,上級,防御特化,戦列防御上級,ガーディアン,標準,可,仮案,戦列防御上級共通,キャラ別・未定,不可,,
ベル,術兵,下級,-,術下級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,術下級共通,キャラ別・未定,不可,,
ベル,術兵,上級,軍師系,術軍師上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,術軍師上級共通,キャラ別・未定,不可,,
ベル,術兵,上級,魔法特化,術魔法上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,術魔法上級共通,キャラ別・未定,不可,,
ベル,騎兵,下級,-,騎兵下級,ナイト,標準,可,ユーザー案,騎兵下級共通,キャラ別・未定,不可,,
ベル,騎兵,上級,騎馬,騎馬上級,★パラディン,得意,可,ユーザー案,騎馬上級共通,キャラ別・未定,不可,,
ベル,騎兵,上級,飛行,飛行上級,ドラゴンライダー,得意,可,ユーザー案,飛行上級共通,キャラ別・未定,不可,,
ベル,隠密兵,下級,-,隠密下級,斥候,標準,可,ユーザー案,隠密下級共通,キャラ別・未定,不可,,
ベル,隠密兵,上級,暗殺,隠密暗殺上級,アサシン,標準,可,ユーザー案,隠密暗殺上級共通,キャラ別・未定,不可,,
ベル,隠密兵,上級,遊撃,隠密遊撃上級,シューター,標準,可,ユーザー案,隠密遊撃上級共通,キャラ別・未定,不可,,
ヘンリー,戦列兵,下級,-,戦列下級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,仮案,戦列下級共通,キャラ別・未定,不可,オルクスの魔族。裏ルートのみ加入。表ルートのシナリオには敵として登場、裏ルートではシナリオ進行で加入。味方ユニットとしてカリマと共に戦う。,
ヘンリー,戦列兵,上級,攻撃特化,戦列攻撃上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,仮案,戦列攻撃上級共通,キャラ別・未定,不可,,
ヘンリー,戦列兵,上級,防御特化,戦列防御上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,仮案,戦列防御上級共通,キャラ別・未定,不可,,
ヘンリー,術兵,下級,-,術下級,◎宣教師(実質魔導師),得意,可,ユーザー案,術下級共通,キャラ別・未定,不可,,
ヘンリー,術兵,上級,軍師系,術軍師上級,戦術士,得意,可,ユーザー案,術軍師上級共通,キャラ別・未定,不可,,
ヘンリー,術兵,上級,魔法特化,術魔法上級,カラミティ,標準,可,ユーザー案,術魔法上級共通,キャラ別・未定,不可,,
ヘンリー,騎兵,下級,-,騎兵下級,ナイト,標準,可,ユーザー案,騎兵下級共通,キャラ別・未定,不可,,
ヘンリー,騎兵,上級,騎馬,騎馬上級,パラディン,標準,可,ユーザー案,騎馬上級共通,キャラ別・未定,不可,,
ヘンリー,騎兵,上級,飛行,飛行上級,★ドラゴンライダー,得意,可,ユーザー案,飛行上級共通,キャラ別・未定,不可,,
ヘンリー,隠密兵,下級,-,隠密下級,斥候,標準,可,ユーザー案,隠密下級共通,キャラ別・未定,不可,,
ヘンリー,隠密兵,上級,暗殺,隠密暗殺上級,アサシン,標準,可,ユーザー案,隠密暗殺上級共通,キャラ別・未定,不可,,
ヘンリー,隠密兵,上級,遊撃,隠密遊撃上級,★シューター,標準,可,ユーザー案,隠密遊撃上級共通,キャラ別・未定,不可,,
キャリー,戦列兵,下級,-,戦列下級,戦士,標準,可,仮案,戦列下級共通,キャラ別・未定,不可,オルクスのエルフ。裏ルートのみ加入。表ルートのシナリオには敵として登場、裏ルートではシナリオ進行で加入。味方ユニットとしてカリマと共に戦う。,
キャリー,戦列兵,上級,攻撃特化,戦列攻撃上級,ブレイバー,標準,可,仮案,戦列攻撃上級共通,キャラ別・未定,不可,,
キャリー,戦列兵,上級,防御特化,戦列防御上級,ガーディアン,標準,可,仮案,戦列防御上級共通,キャラ別・未定,不可,,
キャリー,術兵,下級,-,術下級,魔導師,得意,可,ユーザー案,術下級共通,キャラ別・未定,不可,,
キャリー,術兵,上級,軍師系,術軍師上級,戦術士,標準,可,ユーザー案,術軍師上級共通,キャラ別・未定,不可,,
キャリー,術兵,上級,魔法特化,術魔法上級,★カラミティ,得意,可,ユーザー案,術魔法上級共通,キャラ別・未定,不可,,
キャリー,騎兵,下級,-,騎兵下級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,騎兵下級共通,キャラ別・未定,不可,,
キャリー,騎兵,上級,騎馬,騎馬上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,騎馬上級共通,キャラ別・未定,不可,,
キャリー,騎兵,上級,飛行,飛行上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,飛行上級共通,キャラ別・未定,不可,,
キャリー,隠密兵,下級,-,隠密下級,◎コルテザン(水商売お姉さんなので実質盗人()),標準,可,ユーザー案,隠密下級共通,キャラ別・未定,不可,,
キャリー,隠密兵,上級,暗殺,隠密暗殺上級,★アサシン,得意,可,ユーザー案,隠密暗殺上級共通,キャラ別・未定,不可,,
キャリー,隠密兵,上級,遊撃,隠密遊撃上級,シューター,標準,可,ユーザー案,隠密遊撃上級共通,キャラ別・未定,不可,,
ラディン,戦列兵,下級,-,戦列下級,戦士,得意,可,仮案,戦列下級共通,キャラ別・未定,不可,オルクスのかつての将軍。裏ルートのみ加入。表ルートのシナリオには敵として登場、裏ルートでは味方ユニットとしてカリマと共に戦う。,
ラディン,戦列兵,上級,攻撃特化,戦列攻撃上級,◎★ブレイバー,得意,可,仮案,戦列攻撃上級共通,キャラ別・未定,不可,,
ラディン,戦列兵,上級,防御特化,戦列防御上級,ガーディアン,標準,可,仮案,戦列防御上級共通,キャラ別・未定,不可,,
ラディン,術兵,下級,-,術下級,魔導師,標準,可,ユーザー案,術下級共通,キャラ別・未定,不可,,
ラディン,術兵,上級,軍師系,術軍師上級,★戦術士,得意,可,ユーザー案,術軍師上級共通,キャラ別・未定,不可,,
ラディン,術兵,上級,魔法特化,術魔法上級,カラミティ,標準,可,ユーザー案,術魔法上級共通,キャラ別・未定,不可,,
ラディン,騎兵,下級,-,騎兵下級,ナイト,標準,可,ユーザー案,騎兵下級共通,キャラ別・未定,不可,,
ラディン,騎兵,上級,騎馬,騎馬上級,パラディン,標準,可,ユーザー案,騎馬上級共通,キャラ別・未定,不可,,
ラディン,騎兵,上級,飛行,飛行上級,ドラゴンライダー,標準,可,ユーザー案,飛行上級共通,キャラ別・未定,不可,,
ラディン,隠密兵,下級,-,隠密下級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,隠密下級共通,キャラ別・未定,不可,,
ラディン,隠密兵,上級,暗殺,隠密暗殺上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,隠密暗殺上級共通,キャラ別・未定,不可,,
ラディン,隠密兵,上級,遊撃,隠密遊撃上級,A支援1人から教わったもの,苦手,不可（縁適性で解禁候補）,ユーザー案,隠密遊撃上級共通,キャラ別・未定,不可,,
"◎は加入時の最初の兵種です。名称が違うだけで系統兵種の兵種成長率と同じです。
★はオススメ適正兵種(想定)です",,,,,,,,,,,,,
